,temp,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,stations,cases,labels,lab
359,23.5,18.3,74.5,0.0,0.0,0.0,11.2,273.5,1013.3,52.1,2.8,185.9,15.9,7.0,1,0,10736,normal,2
360,23.4,19.5,80.2,0.0,0.0,0.0,10.8,200.5,1014.2,66.6,2.4,105.8,9.1,4.0,1,1,18209,normal,2
361,24.1,21.5,85.9,0.0,0.0,0.0,9.4,274.4,1012.8,61.2,1.6,139.9,12.1,5.0,1,1,10815,normal,2
362,23.4,21.1,87.8,0.0,0.0,0.0,7.6,282.8,1012.3,71.0,0.8,176.8,15.2,6.0,1,0,22555,normal,3
363,32.2,22.7,58.5,0.0,0.0,0.0,25.9,236.6,1000.9,58.9,6.3,190.9,16.4,7.0,0,5,6325,normal,1
364,32.0,23.5,62.6,0.0,0.0,0.0,36.5,238.1,1003.3,67.8,6.0,146.3,12.9,5.0,0,5,6811,normal,1
365,32.2,24.2,64.3,0.0,0.0,0.0,34.2,215.3,1007.0,49.6,6.8,157.0,13.4,5.0,0,3,9926,normal,1
366,32.7,23.9,62.8,0.0,0.0,0.0,35.6,229.3,1008.5,43.2,6.7,155.7,13.6,5.0,0,3,24131,normal,3
367,32.3,23.2,60.3,0.0,0.0,0.0,27.1,225.1,1007.8,55.1,6.7,139.4,12.1,5.0,0,3,7851,normal,1
368,32.5,22.8,58.1,0.0,0.0,0.0,38.3,221.1,1006.1,68.4,6.5,163.0,14.2,6.0,0,3,6592,normal,1
372,30.8,24.1,69.0,3.725,100.0,8.33,25.9,215.6,1001.7,65.8,6.5,103.0,8.9,4.0,1,3,5999,normal,1
373,31.7,22.6,59.4,0.0,0.0,0.0,20.5,207.6,1004.4,65.7,6.4,148.9,12.8,6.0,0,3,20375,normal,3
